Numero de documentos del corpus: 3888
Numero de palabras del corpus: 342305
Palabra:abolished	Frec:0	LogProb:0.000002515489124282771
Palabra:abolishes	Frec:0	LogProb:0.000002515489124282771
Palabra:abominations	Frec:0	LogProb:0.000002515489124282771
Palabra:abony	Frec:0	LogProb:0.000002515489124282771
Palabra:aboriginal	Frec:0	LogProb:0.000002515489124282771
Palabra:aborn	Frec:0	LogProb:0.000002515489124282771
Palabra:abortion	Frec:0	LogProb:0.000002515489124282771
Palabra:abortions	Frec:0	LogProb:0.000002515489124282771
Palabra:abortive	Frec:0	LogProb:0.000002515489124282771
Palabra:abound	Frec:1	LogProb:0.000005030978248565542
Palabra:abounds	Frec:0	LogProb:0.000002515489124282771
Palabra:abour	Frec:0	LogProb:0.000002515489124282771
Palabra:aboutthefit	Frec:2	LogProb:0.000007546467372848313
Palabra:aboutthis	Frec:0	LogProb:0.000002515489124282771
Palabra:above	Frec:116	LogProb:0.00029431222754108425
Palabra:abovea	Frec:0	LogProb:0.000002515489124282771
Palabra:aboveideal	Frec:0	LogProb:0.000002515489124282771
Palabra:aboveled	Frec:2	LogProb:0.000007546467372848313
Palabra:abp	Frec:0	LogProb:0.000002515489124282771
Palabra:abpp	Frec:0	LogProb:0.000002515489124282771
Palabra:abraham	Frec:0	LogProb:0.000002515489124282771
Palabra:abrahams	Frec:0	LogProb:0.000002515489124282771
Palabra:abrams	Frec:0	LogProb:0.000002515489124282771
Palabra:abramson	Frec:0	LogProb:0.000002515489124282771
Palabra:abrasion	Frec:8	LogProb:0.000022639402118544942
Palabra:abrasive	Frec:0	LogProb:0.000002515489124282771
Palabra:abrasives	Frec:2	LogProb:0.000007546467372848313
Palabra:abreast	Frec:0	LogProb:0.000002515489124282771
Palabra:abri	Frec:0	LogProb:0.000002515489124282771
Palabra:abridged	Frec:0	LogProb:0.000002515489124282771
Palabra:abridgement	Frec:0	LogProb:0.000002515489124282771
Palabra:abridgment	Frec:0	LogProb:0.000002515489124282771
Palabra:abridgments	Frec:0	LogProb:0.000002515489124282771
Palabra:abrigrommetcurtains	Frec:0	LogProb:0.000002515489124282771
Palabra:abro	Frec:1	LogProb:0.000005030978248565542
Palabra:abroad	Frec:4	LogProb:0.000012577445621413855
Palabra:abruptly	Frec:0	LogProb:0.000002515489124282771
Palabra:abruzzi	Frec:0	LogProb:0.000002515489124282771
Palabra:abs	Frec:87	LogProb:0.00022136304293688387
Palabra:absactual	Frec:1	LogProb:0.000005030978248565542
Palabra:absales	Frec:0	LogProb:0.000002515489124282771
Palabra:absbearing	Frec:1	LogProb:0.000005030978248565542
Palabra:abscolour	Frec:1	LogProb:0.000005030978248565542
Palabra:abscompatibility	Frec:1	LogProb:0.000005030978248565542
Palabra:absence	Frec:3	LogProb:0.000010061956497131085
Palabra:absent	Frec:1	LogProb:0.000005030978248565542
Palabra:absolute	Frec:14	LogProb:0.00003773233686424157
Palabra:absolutebest	Frec:0	LogProb:0.000002515489124282771
Palabra:absolutely	Frec:12	LogProb:0.000032701358615676025
Palabra:absolutism	Frec:0	LogProb:0.000002515489124282771
Palabra:absolutist	Frec:0	LogProb:0.000002515489124282771
Palabra:absorb	Frec:6	LogProb:0.000017608423869979397
Palabra:absorbable	Frec:0	LogProb:0.000002515489124282771
Palabra:absorbance	Frec:0	LogProb:0.000002515489124282771
Palabra:absorbed	Frec:2	LogProb:0.000007546467372848313
Palabra:absorbency	Frec:2	LogProb:0.000007546467372848313
Palabra:absorbent	Frec:2	LogProb:0.000007546467372848313
Palabra:absorber	Frec:0	LogProb:0.000002515489124282771
Palabra:absorbia	Frec:0	LogProb:0.000002515489124282771
Palabra:absorbing	Frec:9	LogProb:0.00002515489124282771
Palabra:absorbingly	Frec:0	LogProb:0.000002515489124282771
Palabra:absorbs	Frec:11	LogProb:0.000030185869491393252
Palabra:absorpt	Frec:0	LogProb:0.000002515489124282771
Palabra:absorption	Frec:10	LogProb:0.000027670380367110483
Palabra:absorptive	Frec:1	LogProb:0.000005030978248565542
Palabra:absplusmetal	Frec:2	LogProb:0.000007546467372848313
Palabra:absproduct	Frec:1	LogProb:0.000005030978248565542
Palabra:absrobent	Frec:0	LogProb:0.000002515489124282771
Palabra:abstinent	Frec:0	LogProb:0.000002515489124282771
Palabra:abstract	Frec:1	LogProb:0.000005030978248565542
Palabra:abstracted	Frec:0	LogProb:0.000002515489124282771
Palabra:abstraction	Frec:0	LogProb:0.000002515489124282771
Palabra:abstractions	Frec:0	LogProb:0.000002515489124282771
Palabra:absurd	Frec:0	LogProb:0.000002515489124282771
Palabra:absurdism	Frec:0	LogProb:0.000002515489124282771
Palabra:absurdities	Frec:0	LogProb:0.000002515489124282771
Palabra:absurdity	Frec:0	LogProb:0.000002515489124282771
Palabra:absurdly	Frec:0	LogProb:0.000002515489124282771
Palabra:abt	Frec:0	LogProb:0.000002515489124282771
Palabra:abta	Frec:0	LogProb:0.000002515489124282771
Palabra:abtrix	Frec:0	LogProb:0.000002515489124282771
Palabra:abu	Frec:0	LogProb:0.000002515489124282771
Palabra:abubaker	Frec:0	LogProb:0.000002515489124282771
Palabra:abuela	Frec:0	LogProb:0.000002515489124282771
Palabra:abul	Frec:0	LogProb:0.000002515489124282771
Palabra:abundance	Frec:2	LogProb:0.000007546467372848313
Palabra:abundant	Frec:4	LogProb:0.000012577445621413855
Palabra:abundantly	Frec:0	LogProb:0.000002515489124282771
Palabra:abuse	Frec:2	LogProb:0.000007546467372848313
Palabra:abused	Frec:0	LogProb:0.000002515489124282771
Palabra:abuses	Frec:0	LogProb:0.000002515489124282771
Palabra:abusive	Frec:1	LogProb:0.000005030978248565542
Palabra:abx	Frec:0	LogProb:0.000002515489124282771
Palabra:abxy	Frec:1	LogProb:0.000005030978248565542
Palabra:aby	Frec:0	LogProb:0.000002515489124282771
Palabra:abyssinia	Frec:0	LogProb:0.000002515489124282771
Palabra:abzorb	Frec:0	LogProb:0.000002515489124282771
Palabra:abzorbt	Frec:0	LogProb:0.000002515489124282771
Palabra:ac	Frec:218	LogProb:0.0005508921182179269
Palabra:acacia	Frec:0	LogProb:0.000002515489124282771
Palabra:acadamese	Frec:0	LogProb:0.000002515489124282771
