Numero de documentos del corpus: 7561
Numero de palabras del corpus: 542829
Palabra:abruptly	Frec:1	LogProb:0.000003344140480653311
Palabra:abruzzi	Frec:0	LogProb:0.0000016720702403266556
Palabra:abs	Frec:240	LogProb:0.00040296892791872403
Palabra:absactual	Frec:0	LogProb:0.0000016720702403266556
Palabra:absales	Frec:3	LogProb:0.000006688280961306622
Palabra:absbearing	Frec:0	LogProb:0.0000016720702403266556
Palabra:abscolour	Frec:0	LogProb:0.0000016720702403266556
Palabra:abscompatibility	Frec:0	LogProb:0.0000016720702403266556
Palabra:absence	Frec:8	LogProb:0.0000150486321629399
Palabra:absent	Frec:0	LogProb:0.0000016720702403266556
Palabra:absolute	Frec:31	LogProb:0.00005350624769045298
Palabra:absolutebest	Frec:0	LogProb:0.0000016720702403266556
Palabra:absolutely	Frec:49	LogProb:0.00008360351201633278
Palabra:absolutism	Frec:0	LogProb:0.0000016720702403266556
Palabra:absolutist	Frec:0	LogProb:0.0000016720702403266556
Palabra:absorb	Frec:57	LogProb:0.00009698007393894603
Palabra:absorbable	Frec:1	LogProb:0.000003344140480653311
Palabra:absorbance	Frec:1	LogProb:0.000003344140480653311
Palabra:absorbed	Frec:10	LogProb:0.000018392772643593212
Palabra:absorbency	Frec:24	LogProb:0.00004180175600816639
Palabra:absorbent	Frec:141	LogProb:0.0002374339741263851
Palabra:absorber	Frec:14	LogProb:0.000025081053604899835
Palabra:absorbia	Frec:2	LogProb:0.000005016210720979967
Palabra:absorbing	Frec:11	LogProb:0.000020064842883919866
Palabra:absorbingly	Frec:0	LogProb:0.0000016720702403266556
Palabra:absorbs	Frec:57	LogProb:0.00009698007393894603
Palabra:absorpt	Frec:1	LogProb:0.000003344140480653311
Palabra:absorption	Frec:22	LogProb:0.00003845761552751308
Palabra:absorptive	Frec:0	LogProb:0.0000016720702403266556
Palabra:absplusmetal	Frec:0	LogProb:0.0000016720702403266556
Palabra:absproduct	Frec:0	LogProb:0.0000016720702403266556
Palabra:absrobent	Frec:2	LogProb:0.000005016210720979967
Palabra:abstinent	Frec:0	LogProb:0.0000016720702403266556
Palabra:abstract	Frec:31	LogProb:0.00005350624769045298
Palabra:abstracted	Frec:0	LogProb:0.0000016720702403266556
Palabra:abstraction	Frec:0	LogProb:0.0000016720702403266556
Palabra:abstractions	Frec:0	LogProb:0.0000016720702403266556
Palabra:absurd	Frec:0	LogProb:0.0000016720702403266556
Palabra:absurdism	Frec:0	LogProb:0.0000016720702403266556
Palabra:absurdities	Frec:0	LogProb:0.0000016720702403266556
Palabra:absurdity	Frec:0	LogProb:0.0000016720702403266556
Palabra:absurdly	Frec:0	LogProb:0.0000016720702403266556
Palabra:abt	Frec:0	LogProb:0.0000016720702403266556
Palabra:abta	Frec:0	LogProb:0.0000016720702403266556
Palabra:abtrix	Frec:1	LogProb:0.000003344140480653311
Palabra:abu	Frec:0	LogProb:0.0000016720702403266556
Palabra:abubaker	Frec:0	LogProb:0.0000016720702403266556
Palabra:abuela	Frec:0	LogProb:0.0000016720702403266556
Palabra:abul	Frec:0	LogProb:0.0000016720702403266556
Palabra:abundance	Frec:6	LogProb:0.000011704491682286589
Palabra:abundant	Frec:0	LogProb:0.0000016720702403266556
Palabra:abundantly	Frec:0	LogProb:0.0000016720702403266556
Palabra:abuse	Frec:4	LogProb:0.000008360351201633279
Palabra:abused	Frec:1	LogProb:0.000003344140480653311
Palabra:abuses	Frec:0	LogProb:0.0000016720702403266556
Palabra:abusive	Frec:0	LogProb:0.0000016720702403266556
Palabra:abx	Frec:0	LogProb:0.0000016720702403266556
Palabra:abxy	Frec:0	LogProb:0.0000016720702403266556
Palabra:aby	Frec:0	LogProb:0.0000016720702403266556
Palabra:abyssinia	Frec:0	LogProb:0.0000016720702403266556
Palabra:abzorb	Frec:7	LogProb:0.000013376561922613245
Palabra:abzorbt	Frec:1	LogProb:0.000003344140480653311
Palabra:ac	Frec:281	LogProb:0.0004715238077721169
Palabra:acacia	Frec:8	LogProb:0.0000150486321629399
Palabra:acadamese	Frec:0	LogProb:0.0000016720702403266556
Palabra:academia	Frec:0	LogProb:0.0000016720702403266556
Palabra:academic	Frec:0	LogProb:0.0000016720702403266556
Palabra:academically	Frec:0	LogProb:0.0000016720702403266556
Palabra:academician	Frec:0	LogProb:0.0000016720702403266556
Palabra:academicians	Frec:0	LogProb:0.0000016720702403266556
Palabra:academics	Frec:0	LogProb:0.0000016720702403266556
Palabra:academies	Frec:0	LogProb:0.0000016720702403266556
Palabra:academy	Frec:0	LogProb:0.0000016720702403266556
Palabra:acadia	Frec:0	LogProb:0.0000016720702403266556
Palabra:acai	Frec:0	LogProb:0.0000016720702403266556
Palabra:acaro	Frec:1	LogProb:0.000003344140480653311
Palabra:acc	Frec:0	LogProb:0.0000016720702403266556
Palabra:accedental	Frec:0	LogProb:0.0000016720702403266556
Palabra:accelerate	Frec:2	LogProb:0.000005016210720979967
Palabra:accelerated	Frec:1	LogProb:0.000003344140480653311
Palabra:accelerates	Frec:3	LogProb:0.000006688280961306622
Palabra:accelerating	Frec:0	LogProb:0.0000016720702403266556
Palabra:acceleration	Frec:0	LogProb:0.0000016720702403266556
Palabra:accelerator	Frec:0	LogProb:0.0000016720702403266556
Palabra:accelerometer	Frec:0	LogProb:0.0000016720702403266556
Palabra:accelerometers	Frec:0	LogProb:0.0000016720702403266556
Palabra:accent	Frec:40	LogProb:0.00006855487985339288
Palabra:accented	Frec:2	LogProb:0.000005016210720979967
Palabra:accenting	Frec:0	LogProb:0.0000016720702403266556
Palabra:accents	Frec:21	LogProb:0.000036785545287186424
Palabra:accentuate	Frec:5	LogProb:0.000010032421441959933
Palabra:accentuated	Frec:0	LogProb:0.0000016720702403266556
Palabra:accentuates	Frec:0	LogProb:0.0000016720702403266556
Palabra:accenture	Frec:1	LogProb:0.000003344140480653311
